Serial number,id,Locations,Latitude,Longitude
170,a81758fffe03102a,TY-1705,65.05879432,25.46542749
171,a81758fffe031029,TY-1704,65.05881214,25.46542883
172,a81758fffe031028,TY-1703,65.05883136,25.46542883
173,a81758fffe031027,TY-1702,65.05884974,25.4654295
174,a81758fffe031024,TY-1701,65.05886416,25.46542682
175,a81758fffe03108f,TY-1609,65.0587143,25.46546303
176,a81758fffe031023,TY-1608,65.05873296,25.4654637
177,a81758fffe031022,TY-1607,65.05875417,25.4654637
178,a81758fffe031021,TY-1606,65.0587734,25.4654637
179,a81758fffe031020,TY-1605,65.05879376,25.46546504
180,a81758fffe03101f,TY-1604,65.05881157,25.46546705
181,a81758fffe03101e,TY-1603,65.0588308,25.46546705
182,a81758fffe03101d,TY-1602,65.05885342,25.46546973
183,a81758fffe03108e,TY-1509,65.05871204,25.4655046
184,a81758fffe03101c,TY-1508,65.05873013,25.46550527
185,a81758fffe03101b,TY-1507,65.05875162,25.46550527
186,a81758fffe03101a,TY-1506,65.05877114,25.46550594
187,a81758fffe031019,TY-1505,65.05879149,25.46550661
188,a81758fffe031018,TY-1504,65.05880903,25.46550862
189,a81758fffe031017,TY-1503,65.05882825,25.46550728
190,a81758fffe031016,TY-1502,65.05885229,25.46551064
191,a81758fffe03108d,TY-1409,65.05871119,25.46554685
192,a81758fffe030f59,TY-1408,65.05872985,25.46554752
193,a81758fffe031015,TY-1311,65.05867415,25.46558574
194,a81758fffe031014,TY-1310,65.05869422,25.46558708
195,a81758fffe03108c,TY-1309,65.05871289,25.46558507
196,a81758fffe031013,TY-1308,65.05873183,25.46558507
197,a81758fffe031012,TY-1307,65.05875276,25.46558641
198,a81758fffe031011,TY-1306,65.05877255,25.46558574
199,a81758fffe031010,TY-1305,65.05879206,25.46558708
200,a81758fffe03100f,TY-1304,65.05881044,25.46558909
201,a81758fffe03100e,TY-1303,65.05882938,25.46558909
202,a81758fffe03100d,TY-1302,65.0588455,25.4655911
203,a81758fffe03100c,TY-1301,65.05886558,25.46558842
204,a81758fffe03100b,TY-1211,65.05867415,25.46562731
205,a81758fffe03100a,TY-1210,65.05869337,25.46562731
206,a81758fffe03108b,TY-1209,65.05871204,25.46562664
207,a81758fffe030ffe,TY-1208,65.05873098,25.46562664
208,a81758fffe030ffd,TY-1207,65.05875134,25.46562731
209,a81758fffe030ffb,TY-1206,65.05877029,25.46562597
210,a81758fffe030ff8,TY-1205,65.05879093,25.46562798
211,a81758fffe030ffa,TY-1204,65.05880903,25.46562999
212,a81758fffe030ff7,TY-1203,65.05882797,25.46563067
213,a81758fffe030ff6,TY-1202,65.05884578,25.46563134
214,a81758fffe030ff5,TY-1201,65.05886501,25.46562932
215,a81758fffe030ff4,TY-1111,65.05867217,25.4656709
216,a81758fffe030ff3,TY-1110,65.05869253,25.46567224
217,a81758fffe03108a,TY-1109,65.05871091,25.4656709
218,a81758fffe030ff2,TY-1108,65.05872957,25.46567157
219,a81758fffe030d4f,TY-1107,65.05875078,25.46567157
220,a81758fffe030ff1,TY-1106,65.05877,25.46567023
221,a81758fffe030ff0,TY-1105,65.05879036,25.46567157
222,a81758fffe030fef,TY-1104,65.05880846,25.46567358
223,a81758fffe030fee,TY-1103,65.05882741,25.46567358
224,a81758fffe030fed,TY-1102,65.05884494,25.46567358
225,a81758fffe030fec,TY-1101,65.05886473,25.46567224
226,a81758fffe030feb,TY-1011,65.05867245,25.46571314
227,a81758fffe030fea,TY-1010,65.05869196,25.46571381
228,a81758fffe031089,TY-1009,65.05871091,25.46571314
229,a81758fffe030fe9,TY-1008,65.05872929,25.46571314
230,a81758fffe030fe8,TY-1007,65.05875134,25.46571314
231,a81758fffe030fe7,TY-1006,65.05877,25.46571314
232,a81758fffe030fe6,TY-1005,65.05879065,25.46571516
233,a81758fffe030fe5,TY-1004,65.05880874,25.46571583
234,a81758fffe030fe3,TY-1003,65.05882741,25.46571717
235,a81758fffe030fe2,TY-1002,65.05884635,25.4657165
236,a81758fffe030fe0,TY-0911,65.05867217,25.46576008
237,a81758fffe031088,TY-0909,65.05870949,25.4657574
238,a81758fffe030fdf,TY-0908,65.05872815,25.46575606
239,a81758fffe030d4e,TY-0907,65.05874936,25.46575807
240,a81758fffe030fde,TY-0906,65.05876887,25.4657574
241,a81758fffe030fdd,TY-0905,65.05878923,25.46575941
242,a81758fffe030fdc,TY-0904,65.05880733,25.46575941
243,a81758fffe030fdb,TY-0903,65.05882627,25.46575941
244,a81758fffe030fe1,TY-0902,65.05884607,25.46576276
245,a81758fffe030fd9,TY-0811,65.0586716,25.46580099
246,a81758fffe030fd8,TY-0810,65.05869111,25.46580166
247,a81758fffe031087,TY-0809,65.05871006,25.46580099
248,a81758fffe030fd7,TY-0808,65.058729,25.46579964
249,a81758fffe030fd6,TY-0807,65.05874965,25.46579964
250,a81758fffe030fd5,TY-0806,65.05876887,25.46580099
251,a81758fffe030fd4,TY-0805,65.0587898,25.46580367
252,a81758fffe030fd3,TY-0804,65.05880733,25.46580434
253,a81758fffe030fd2,TY-0803,65.05882684,25.46580367
254,a81758fffe030fd1,TY-0802,65.0588472,25.46580166
255,a81758fffe030fd0,TY-0801,65.05886275,25.46580367
256,a81758fffe031078,TY-0709,65.05871175,25.46584859
257,a81758fffe031077,TY-0708,65.05873013,25.46584994
258,a81758fffe031076,TY-0707,65.05875191,25.46584927
259,a81758fffe031075,TY-0706,65.05877057,25.46584994
260,a81758fffe031074,TY-0705,65.05879121,25.46585128
261,a81758fffe031073,TY-0704,65.05880903,25.46585329
262,a81758fffe031072,TY-0703,65.05882854,25.46585329
263,a81758fffe030d52,TY-0702,65.0588455,25.46585262
264,a81758fffe030d49,TY-0701,65.05886501,25.46585262
265,a81758fffe031083,TY-0609,65.05871232,25.46589352
266,a81758fffe031080,TY-0608,65.05873098,25.46589419
267,a81758fffe03107f,TY-0607,65.05875276,25.46589419
268,a81758fffe03107e,TY-0606,65.05877198,25.46589419
269,a81758fffe03107d,TY-0605,65.05879234,25.46589553
270,a81758fffe03107b,TY-0604,65.05881016,25.46589687
271,a81758fffe03107a,TY-0603,65.05882938,25.46589687
272,a81758fffe030d51,TY-0602,65.05884663,25.46589755
273,a81758fffe030d50,TY-0601,65.05886614,25.4658962
274,a81758fffe03103f,TY-0510,65.05869281,25.46593376
275,a81758fffe031086,TY-0509,65.05871147,25.46593308
276,a81758fffe030fcf,TY-0506,65.05877142,25.46593376
277,a81758fffe030fce,TY-0505,65.05879178,25.46593443
278,a81758fffe030fcd,TY-0504,65.05880959,25.4659351
